"","first_half","second_half","method","n"
"gene136",0.268106712090566,-1.26404279334042,"CARseq LFC","Total sample size in a half = 25"
"gene137",NA,NA,"CARseq LFC","Total sample size in a half = 25"
"gene138",-27.6097797801191,0.318913725615651,"CARseq LFC","Total sample size in a half = 25"
"gene139",Inf,1.4938171386203,"CARseq LFC","Total sample size in a half = 25"
"gene140",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene141",0.354866241929837,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene142",-0.284563793954809,NA,"CARseq LFC","Total sample size in a half = 25"
"gene143",-Inf,-1.12057699436219,"CARseq LFC","Total sample size in a half = 25"
"gene144",-1.24801318727321,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene145",-0.253329961766532,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene146",0.390377136252774,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene147",-1.35401780154635,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene148",Inf,-4.49361978549444,"CARseq LFC","Total sample size in a half = 25"
"gene149",-Inf,-1.58726840602931,"CARseq LFC","Total sample size in a half = 25"
"gene150",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene151",2.49068985048993,NA,"CARseq LFC","Total sample size in a half = 25"
"gene152",-0.556933120505816,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene153",-0.706634644571842,-0.887567180744869,"CARseq LFC","Total sample size in a half = 25"
"gene154",-0.0640914304700823,NA,"CARseq LFC","Total sample size in a half = 25"
"gene155",Inf,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene156",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene157",-3.04877102281677,-1.39544443254052,"CARseq LFC","Total sample size in a half = 25"
"gene158",-Inf,-0.879017127502067,"CARseq LFC","Total sample size in a half = 25"
"gene159",-0.284727914737354,0.452886273318929,"CARseq LFC","Total sample size in a half = 25"
"gene160",-0.0998342688336483,-0.0541156079973859,"CARseq LFC","Total sample size in a half = 25"
"gene161",0.480603945510213,-1.18548095038147,"CARseq LFC","Total sample size in a half = 25"
"gene162",-0.619626821192734,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene163",-1.75003868919909,0.424841019669007,"CARseq LFC","Total sample size in a half = 25"
"gene164",-0.389146956730105,-1.71403301364878,"CARseq LFC","Total sample size in a half = 25"
"gene165",-0.476983794361481,-0.692937379373403,"CARseq LFC","Total sample size in a half = 25"
"gene166",-Inf,NA,"CARseq LFC","Total sample size in a half = 25"
"gene167",Inf,-0.374062425326941,"CARseq LFC","Total sample size in a half = 25"
"gene168",-Inf,-1.27302114136916,"CARseq LFC","Total sample size in a half = 25"
"gene169",-Inf,-2.83071226870584,"CARseq LFC","Total sample size in a half = 25"
"gene170",-0.528640447547095,0.972126756081422,"CARseq LFC","Total sample size in a half = 25"
"gene171",NA,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene172",-Inf,NA,"CARseq LFC","Total sample size in a half = 25"
"gene173",-3.41217532359876,-1.58357895123011,"CARseq LFC","Total sample size in a half = 25"
"gene174",-15.655672265489,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene175",-1.471779080454,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene176",-1.09651390960222,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene177",Inf,0.680584769881677,"CARseq LFC","Total sample size in a half = 25"
"gene178",-Inf,-3.12093501103067,"CARseq LFC","Total sample size in a half = 25"
"gene179",-0.610929235148178,-1.23395954309161,"CARseq LFC","Total sample size in a half = 25"
"gene180",-Inf,-0.877037284617787,"CARseq LFC","Total sample size in a half = 25"
"gene181",-Inf,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene182",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene183",Inf,0.721327949223791,"CARseq LFC","Total sample size in a half = 25"
"gene184",Inf,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene185",0.85130026173897,-0.513167294961664,"CARseq LFC","Total sample size in a half = 25"
"gene186",-0.213220581980892,-0.501436845468598,"CARseq LFC","Total sample size in a half = 25"
"gene187",-0.853519312078316,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene188",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene189",-1.00987605901121,-0.25848083346218,"CARseq LFC","Total sample size in a half = 25"
"gene190",NA,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene191",0.746798358830766,NA,"CARseq LFC","Total sample size in a half = 25"
"gene192",-0.773835676740811,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene193",Inf,2.24586312516988,"CARseq LFC","Total sample size in a half = 25"
"gene194",-0.584648655258061,-1.52460371230064,"CARseq LFC","Total sample size in a half = 25"
"gene195",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene196",-Inf,-0.313469473173499,"CARseq LFC","Total sample size in a half = 25"
"gene197",-Inf,-1.2782817255304,"CARseq LFC","Total sample size in a half = 25"
"gene198",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene199",Inf,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene200",-4.92957015986504,-1.86386986134104,"CARseq LFC","Total sample size in a half = 25"
"gene201",-Inf,-1.04758421666428,"CARseq LFC","Total sample size in a half = 25"
"gene202",NA,0.332386851108652,"CARseq LFC","Total sample size in a half = 25"
"gene203",-Inf,0.535962275017032,"CARseq LFC","Total sample size in a half = 25"
"gene204",-0.503978720255208,-0.207023048668558,"CARseq LFC","Total sample size in a half = 25"
"gene205",-Inf,-0.557895662024693,"CARseq LFC","Total sample size in a half = 25"
"gene206",-0.630433402463736,-0.0149807991500941,"CARseq LFC","Total sample size in a half = 25"
"gene207",Inf,NA,"CARseq LFC","Total sample size in a half = 25"
"gene208",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene209",-1.46127141139275,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene210",-0.914586363619503,-1.00940262995935,"CARseq LFC","Total sample size in a half = 25"
"gene211",-0.860378796177067,1.62449189283781,"CARseq LFC","Total sample size in a half = 25"
"gene212",2.23868493551503,-0.171406741303578,"CARseq LFC","Total sample size in a half = 25"
"gene213",-0.498102374303779,-0.689652647811285,"CARseq LFC","Total sample size in a half = 25"
"gene214",-0.791787088558176,0.741781847413294,"CARseq LFC","Total sample size in a half = 25"
"gene215",NA,NA,"CARseq LFC","Total sample size in a half = 25"
"gene216",-0.324382733548309,-1.84045774120768,"CARseq LFC","Total sample size in a half = 25"
"gene217",-Inf,-1.56523674793526,"CARseq LFC","Total sample size in a half = 25"
"gene218",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene219",-1.05763224408787,-0.802668463517175,"CARseq LFC","Total sample size in a half = 25"
"gene220",-Inf,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene221",-1.43653079817347,0.716229576821243,"CARseq LFC","Total sample size in a half = 25"
"gene222",-0.717655627162412,NA,"CARseq LFC","Total sample size in a half = 25"
"gene223",Inf,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene224",-0.831267467823393,-0.251575204303135,"CARseq LFC","Total sample size in a half = 25"
"gene225",-Inf,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene226",-Inf,-2.8250964365119,"CARseq LFC","Total sample size in a half = 25"
"gene227",Inf,-1.40172784348042,"CARseq LFC","Total sample size in a half = 25"
"gene228",-0.460862004906067,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene229",-0.650302669735757,-1.04771830421356,"CARseq LFC","Total sample size in a half = 25"
"gene230",-0.311869021206414,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene231",NA,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene232",NA,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene233",-15.3732181632007,NA,"CARseq LFC","Total sample size in a half = 25"
"gene234",NA,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene235",-Inf,0.536106050630513,"CARseq LFC","Total sample size in a half = 25"
"gene236",-2.76075616453251,NA,"CARseq LFC","Total sample size in a half = 25"
"gene237",-Inf,0.313459572701257,"CARseq LFC","Total sample size in a half = 25"
"gene238",NA,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene239",Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene240",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene241",-2.09418775338695,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene242",0,2.55180132621084,"CARseq LFC","Total sample size in a half = 25"
"gene243",-1.23654139594504,-0.782263130877684,"CARseq LFC","Total sample size in a half = 25"
"gene244",-0.25885143470267,1.13643002559848,"CARseq LFC","Total sample size in a half = 25"
"gene245",-0.775027902867276,-1.23957417753127,"CARseq LFC","Total sample size in a half = 25"
"gene246",-1.31319671307895,-0.928527259593919,"CARseq LFC","Total sample size in a half = 25"
"gene247",-Inf,-1.76292173654979,"CARseq LFC","Total sample size in a half = 25"
"gene248",Inf,-0.645700634372476,"CARseq LFC","Total sample size in a half = 25"
"gene249",-0.061770223336211,-0.152862847318629,"CARseq LFC","Total sample size in a half = 25"
"gene250",NA,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene251",-0.502926688322306,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene252",0.83266149897791,0.77200390887578,"CARseq LFC","Total sample size in a half = 25"
"gene253",-Inf,1.84496935533428,"CARseq LFC","Total sample size in a half = 25"
"gene254",-2.19941761480047,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene255",-1.8715480149649,-2.28211240484794,"CARseq LFC","Total sample size in a half = 25"
"gene256",-2.7259389323726,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene257",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene258",-0.28508070927038,1.34895919538246,"CARseq LFC","Total sample size in a half = 25"
"gene259",-0.451881807518495,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene260",-Inf,-3.91815849484553,"CARseq LFC","Total sample size in a half = 25"
"gene261",NA,-0.705381922011357,"CARseq LFC","Total sample size in a half = 25"
"gene262",0.589682972427743,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene263",NA,NA,"CARseq LFC","Total sample size in a half = 25"
"gene264",-0.419527529452094,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene265",-2.16391570204254,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene266",-Inf,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene267",-0.929312886317373,-0.285778403303701,"CARseq LFC","Total sample size in a half = 25"
"gene268",Inf,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene269",-2.12272703148406,-0.678652242647612,"CARseq LFC","Total sample size in a half = 25"
"gene270",-Inf,-13.0425775474819,"CARseq LFC","Total sample size in a half = 25"
"gene271",-Inf,0.574057249288966,"CARseq LFC","Total sample size in a half = 25"
"gene272",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene273",2.47575057037753,0.264135702750339,"CARseq LFC","Total sample size in a half = 25"
"gene274",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene275",-0.641238646869887,0.289159968869049,"CARseq LFC","Total sample size in a half = 25"
"gene276",-1.25022820546932,NA,"CARseq LFC","Total sample size in a half = 25"
"gene277",-Inf,-1.44389443312573,"CARseq LFC","Total sample size in a half = 25"
"gene278",-0.0882979102020478,0.382071573510666,"CARseq LFC","Total sample size in a half = 25"
"gene279",-0.738800298665579,-3.66530920762593,"CARseq LFC","Total sample size in a half = 25"
"gene280",Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene281",0.30006605245044,NA,"CARseq LFC","Total sample size in a half = 25"
"gene282",-0.587099573299759,-2.64713937562244,"CARseq LFC","Total sample size in a half = 25"
"gene283",Inf,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene284",-Inf,-0.0528843983958189,"CARseq LFC","Total sample size in a half = 25"
"gene285",-1.38210127511892,-0.025777626220068,"CARseq LFC","Total sample size in a half = 25"
"gene286",-0.502758920016855,0.200710739529351,"CARseq LFC","Total sample size in a half = 25"
"gene287",-0.703679660153196,-0.298174363447238,"CARseq LFC","Total sample size in a half = 25"
"gene288",-1.05631686808298,-0.701422722606612,"CARseq LFC","Total sample size in a half = 25"
"gene289",-2.29390197707826,-0.925234404721442,"CARseq LFC","Total sample size in a half = 25"
"gene290",2.88240228461274,-2.91508828153494,"CARseq LFC","Total sample size in a half = 25"
"gene291",-0.477291474519356,-0.35752802012384,"CARseq LFC","Total sample size in a half = 25"
"gene292",-0.614671948019619,0.308212949691127,"CARseq LFC","Total sample size in a half = 25"
"gene293",0.344930155475041,-0.627753214392023,"CARseq LFC","Total sample size in a half = 25"
"gene294",Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene295",-Inf,NA,"CARseq LFC","Total sample size in a half = 25"
"gene296",-1.98912933160258,-0.973804433629217,"CARseq LFC","Total sample size in a half = 25"
"gene297",-Inf,0.0756045639396108,"CARseq LFC","Total sample size in a half = 25"
"gene298",NA,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene299",NA,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene300",NA,1.04009793017362,"CARseq LFC","Total sample size in a half = 25"
"gene301",-1.7348478413416,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene302",NA,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene303",Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene304",-0.320921521995775,-0.672569986422074,"CARseq LFC","Total sample size in a half = 25"
"gene305",-1.87006490133101,NA,"CARseq LFC","Total sample size in a half = 25"
"gene306",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene307",-Inf,-0.305915398340315,"CARseq LFC","Total sample size in a half = 25"
"gene308",-Inf,-0.83809889212261,"CARseq LFC","Total sample size in a half = 25"
"gene309",-1.28519076247568,-0.822757924656698,"CARseq LFC","Total sample size in a half = 25"
"gene310",-1.31740905303657,-0.772350191385416,"CARseq LFC","Total sample size in a half = 25"
"gene311",-2.02110435285727,-0.648193411368133,"CARseq LFC","Total sample size in a half = 25"
"gene312",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene313",-Inf,-0.21270815363233,"CARseq LFC","Total sample size in a half = 25"
"gene314",-Inf,-0.601548704348659,"CARseq LFC","Total sample size in a half = 25"
"gene315",-1.76987414228111,-0.314806336623835,"CARseq LFC","Total sample size in a half = 25"
"gene316",-Inf,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene317",-1.3689724701438,NA,"CARseq LFC","Total sample size in a half = 25"
"gene318",3.63921902413222,-3.59169679486265,"CARseq LFC","Total sample size in a half = 25"
"gene319",-1.51251823836837,0.233592102730786,"CARseq LFC","Total sample size in a half = 25"
"gene320",-0.844162958475187,NA,"CARseq LFC","Total sample size in a half = 25"
"gene321",-0.716915534071517,0.990680788931595,"CARseq LFC","Total sample size in a half = 25"
"gene322",Inf,-0.0651615194390329,"CARseq LFC","Total sample size in a half = 25"
"gene323",-0.764727579583649,-1.56650192914584,"CARseq LFC","Total sample size in a half = 25"
"gene324",0.0247329442564572,0.402019439230982,"CARseq LFC","Total sample size in a half = 25"
"gene325",-Inf,2.57461357614392,"CARseq LFC","Total sample size in a half = 25"
"gene326",-0.79928284795513,-1.15141427698252,"CARseq LFC","Total sample size in a half = 25"
"gene327",-3.08444131373367,-0.445596014418209,"CARseq LFC","Total sample size in a half = 25"
"gene328",-0.776929624150334,-1.54574683717309,"CARseq LFC","Total sample size in a half = 25"
"gene329",-3.55235432487968,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene330",-2.65624467730419,-0.937158544869067,"CARseq LFC","Total sample size in a half = 25"
"gene331",Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene332",-Inf,-1.25223538992548,"CARseq LFC","Total sample size in a half = 25"
"gene333",-0.981043549018016,0.209795075388769,"CARseq LFC","Total sample size in a half = 25"
"gene334",-0.902507448435931,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene335",NA,-Inf,"CARseq LFC","Total sample size in a half = 25"
"gene336",-1.19264991465391,NA,"CARseq LFC","Total sample size in a half = 25"
"gene337",-0.469219399920125,-0.714786507541812,"CARseq LFC","Total sample size in a half = 25"
"gene338",Inf,-0.802308035871555,"CARseq LFC","Total sample size in a half = 25"
"gene339",Inf,-0.770570769323574,"CARseq LFC","Total sample size in a half = 25"
"gene340",NA,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene341",-Inf,Inf,"CARseq LFC","Total sample size in a half = 25"
"gene342",-0.464725661956532,-0.449088484861421,"CARseq LFC","Total sample size in a half = 25"
"gene343",-1.29372815732895,-0.888373294750824,"CARseq LFC","Total sample size in a half = 25"
