ID	gene	r
ENSG00000074054	CLASP1	0.596772812
ENSG00000021762	OSBPL5	0.596761133
ENSG00000059145	UNKL	0.596581411
ENSG00000070785	EIF2B3	0.59636699
ENSG00000143322	ABL2	0.596023714
ENSG00000100461	RBM23	0.59582229
ENSG00000129103	SUMF2	0.595178814
ENSG00000083223	ZCCHC6	0.594425492
ENSG00000114405	C3orf14	0.594410123
ENSG00000140259	MFAP1	0.594368835
ENSG00000137692	DCUN1D5	0.594170204
ENSG00000017427	IGF1	0.59407706
ENSG00000089123	TASP1	0.594030708
ENSG00000128596	CCDC136	0.594023359
ENSG00000110880	CORO1C	0.593883553
ENSG00000204685	STARD7-AS1	0.593727351
ENSG00000135063	FAM189A2	0.593471713
ENSG00000263874	LINC00672	0.59341692
ENSG00000230051	CTA-929C8.8	0.593298879
ENSG00000065000	AP3D1	0.593099797
ENSG00000101247	NDUFAF5	0.593001635
ENSG00000138771	SHROOM3	0.592934493
ENSG00000144893	MED12L	0.592874611
ENSG00000101654	RNMT	0.592359036
ENSG00000138443	ABI2	0.592278567
ENSG00000171223	JUNB	0.592117872
ENSG00000265366	GLUD1P7	0.591749807
ENSG00000171951	SCG2	0.591186412
ENSG00000099860	GADD45B	0.59100738
ENSG00000163449	TMEM169	0.590705316
ENSG00000175426	PCSK1	0.590647664
ENSG00000168438	CDC40	0.59052794
ENSG00000006607	FARP2	0.590441218
ENSG00000163956	LRPAP1	0.590246487
ENSG00000167721	TSR1	0.589913316
ENSG00000106536	POU6F2	0.589714965
ENSG00000149256	TENM4	0.589329602
ENSG00000164129	NPY5R	0.58921769
ENSG00000149305	HTR3B	0.589120142
ENSG00000022556	NLRP2	0.588969036
ENSG00000198355	PIM3	0.588754948
ENSG00000188747	NOXA1	0.588581155
ENSG00000100335	MIEF1	0.588520258
ENSG00000174446	SNAPC5	0.588493956
ENSG00000020256	ZFP64	0.588473378
ENSG00000112149	CD83	0.58837436
ENSG00000213160	KLHL23	0.588212787
ENSG00000115232	ITGA4	0.588147024
ENSG00000272391	POM121C	0.587978674
ENSG00000173846	PLK3	0.587880884
ENSG00000224812	TMEM72-AS1	0.587850744
ENSG00000247765	RP11-32B5.7	0.587740079
ENSG00000103404	USP31	0.587729588
ENSG00000119599	DCAF4	0.587304604
ENSG00000223561	AC003090.1	0.587191911
ENSG00000196724	ZNF418	0.587052611
ENSG00000149131	SERPING1	0.586752748
ENSG00000174238	PITPNA	0.586580704
ENSG00000263878	DLGAP1-AS4	0.586283927
ENSG00000162104	ADCY9	0.58625182
ENSG00000174547	MRPL11	0.585846864
ENSG00000233864	TTTY15	0.585747237
ENSG00000225539	AC018799.1	0.585079943
ENSG00000101266	CSNK2A1	0.584893994
ENSG00000253553	RP11-586K2.1	0.584595344
ENSG00000152034	MCHR2	0.584285074
ENSG00000167874	TMEM88	0.58420467
ENSG00000156599	ZDHHC5	0.58412728
ENSG00000145860	RNF145	0.583563146
ENSG00000124243	BCAS4	0.583552332
ENSG00000023171	GRAMD1B	0.582813162
ENSG00000080709	KCNN2	0.582743558
ENSG00000117020	AKT3	0.582579415
ENSG00000084710	EFR3B	0.582532035
ENSG00000184261	KCNK12	0.582385256
ENSG00000261553	RP11-29G8.3	0.582089315
ENSG00000275830	RP11-403A3.3	0.581902295
ENSG00000050438	SLC4A8	0.581708502
ENSG00000124459	ZNF45	0.581683281
ENSG00000136936	XPA	0.581506328
ENSG00000186260	MKL2	0.581011583
ENSG00000170871	KIAA0232	0.581001281
ENSG00000102683	SGCG	0.580862731
ENSG00000140968	IRF8	0.5805179
ENSG00000179029	TMEM107	0.580503296
ENSG00000175766	EIF4E1B	0.580108827
ENSG00000157423	HYDIN	0.580080311
ENSG00000268182	SMIM17	0.580046291
ENSG00000116922	C1orf109	0.579588589
ENSG00000266573	RP11-449D8.5	0.579407923
ENSG00000148671	ADIRF	0.579333249
ENSG00000275111	ZNF2	0.579327771
ENSG00000154124	OTULIN	0.579184341
ENSG00000067064	IDI1	0.579061506
ENSG00000267011	CTB-50L17.16	0.578748961
ENSG00000083635	NUFIP1	0.578601133
ENSG00000170419	VSTM2A	0.578556968
ENSG00000108510	MED13	0.578439204
ENSG00000100345	MYH9	0.578258716
ENSG00000080947	CROCCP3	0.578250127
ENSG00000135315	CEP162	0.578132283
ENSG00000164168	TMEM184C	0.577797438
ENSG00000205593	DENND6B	0.577580618
ENSG00000071073	MGAT4A	0.577080242
ENSG00000106399	RPA3	0.576711489
ENSG00000236296	GUSBP5	0.576593145
ENSG00000019582	CD74	0.576450282
ENSG00000101438	SLC32A1	0.576449078
ENSG00000163697	APBB2	0.5761415
ENSG00000179057	IGSF22	0.57611619
ENSG00000166548	TK2	0.575156361
ENSG00000124440	HIF3A	0.574995859
ENSG00000215021	PHB2	0.574748388
ENSG00000146776	ATXN7L1	0.574138691
ENSG00000231878	SNRPFP1	0.574058574
ENSG00000188483	IER5L	0.573834392
ENSG00000179820	MYADM	0.573262417
ENSG00000124493	GRM4	0.573219227
ENSG00000198155	ZNF876P	0.573124557
ENSG00000145779	TNFAIP8	0.573061804
ENSG00000172992	DCAKD	0.572617833
ENSG00000077092	RARB	0.57258009
ENSG00000121879	PIK3CA	0.572360371
ENSG00000075151	EIF4G3	0.572347092
ENSG00000183208	GDPGP1	0.572299377
ENSG00000168081	PNOC	0.572241277
ENSG00000167257	RNF214	0.572130421
ENSG00000185340	GAS2L1	0.571918637
ENSG00000263724	DLGAP1-AS3	0.571819448
ENSG00000250412	KLHL2P1	0.571789498
ENSG00000197465	GYPE	0.571585128
ENSG00000182986	ZNF320	0.57117151
ENSG00000136261	BZW2	0.571035502
ENSG00000141376	BCAS3	0.570757949
ENSG00000171735	CAMTA1	0.570677411
ENSG00000137947	GTF2B	0.570647366
ENSG00000087269	NOP14	0.570526728
ENSG00000132676	DAP3	0.570202564
ENSG00000123684	LPGAT1	0.569930563
ENSG00000153982	GDPD1	0.569499813
ENSG00000106624	AEBP1	0.569230371
ENSG00000249776	RP11-133F8.2	0.568730654
ENSG00000172995	ARPP21	0.568521359
ENSG00000236021	RP11-195C7.1	0.568448476
ENSG00000182827	ACBD3	0.568437677
ENSG00000166233	ARIH1	0.568392148
ENSG00000122012	SV2C	0.568206873
ENSG00000271913	RP1-111C20.4	0.568115056
ENSG00000134986	NREP	0.568068866
ENSG00000183346	C10orf107	0.567808342
ENSG00000165219	GAPVD1	0.567665912
ENSG00000120137	PANK3	0.567519273
ENSG00000130222	GADD45G	0.567320089
ENSG00000057663	ATG5	0.566878831
ENSG00000123240	OPTN	0.566730897
ENSG00000162782	TDRD5	0.566701472
ENSG00000214279	SCART1	0.566582663
ENSG00000159579	RSPRY1	0.566514625
ENSG00000141084	RANBP10	0.566259723
ENSG00000185359	HGS	0.566088787
ENSG00000175087	PDIK1L	0.565848585
ENSG00000130844	ZNF331	0.565624834
ENSG00000169764	UGP2	0.56480165
ENSG00000231689	LINC01090	0.564779901
ENSG00000051108	HERPUD1	0.564754574
ENSG00000274767	AC131056.3	0.564560218
ENSG00000072110	ACTN1	0.564358804
ENSG00000034693	PEX3	0.564041915
ENSG00000133019	CHRM3	0.563923492
ENSG00000081721	DUSP12	0.563287678
ENSG00000255087	RP11-168K9.2	0.563269456
ENSG00000166965	RCCD1	0.562996696
ENSG00000136715	SAP130	0.562810579
ENSG00000081026	MAGI3	0.562794237
ENSG00000064607	SUGP2	0.562679775
ENSG00000177150	FAM210A	0.562558385
ENSG00000110074	FOXRED1	0.562450403
ENSG00000082258	CCNT2	0.562378861
ENSG00000110906	KCTD10	0.562274172
ENSG00000119888	EPCAM	0.561884187
ENSG00000148908	RGS10	0.561764236
ENSG00000108384	RAD51C	0.561672524
ENSG00000163624	CDS1	0.561407902
ENSG00000090520	DNAJB11	0.561374898
ENSG00000105278	ZFR2	0.561129917
ENSG00000157800	SLC37A3	0.560862287
ENSG00000261115	TMEM178B	0.560713264
ENSG00000078747	ITCH	0.560431753
ENSG00000142149	HUNK	0.560181217
ENSG00000204852	TCTN1	0.560112668
ENSG00000254187	CTB-78F1.1	0.560070724
ENSG00000183878	UTY	0.559918402
ENSG00000144560	VGLL4	0.559910827
ENSG00000119661	DNAL1	0.55960642
ENSG00000149177	PTPRJ	0.559374351
ENSG00000180198	RCC1	0.559347924
ENSG00000118596	SLC16A7	0.559271424
ENSG00000142871	CYR61	0.559254881
ENSG00000214870	AC004540.5	0.559125034
ENSG00000178175	ZNF366	0.559012005
ENSG00000077463	SIRT6	0.558881763
ENSG00000113946	CLDN16	0.558798407
ENSG00000162980	ARL5A	0.558708167
ENSG00000185798	WDR53	0.558604565
ENSG00000186432	KPNA4	0.558309489
ENSG00000198466	ZNF587	0.558301618
ENSG00000241506	PSMC1P1	0.558272831
ENSG00000204209	DAXX	0.558230638
ENSG00000172006	ZNF554	0.558168947
ENSG00000213762	ZNF134	0.557898546
ENSG00000168032	ENTPD3	0.557877741
ENSG00000154162	CDH12	0.557875011
ENSG00000107521	HPS1	0.557714737
ENSG00000175455	CCDC14	0.557694546
ENSG00000160179	ABCG1	0.557606676
ENSG00000235026	DPP10-AS1	0.55757907
ENSG00000156675	RAB11FIP1	0.557438114
ENSG00000130309	COLGALT1	0.557004491
ENSG00000130741	EIF2S3	0.556998038
ENSG00000144354	CDCA7	0.556561375
ENSG00000145416	MARCH1	0.556442043
ENSG00000239498	AC114765.1	0.556319223
ENSG00000198060	MARCH5	0.556098907
ENSG00000112062	MAPK14	0.555847143
ENSG00000204217	BMPR2	0.555610415
ENSG00000226221	RPL26P19	0.555558369
ENSG00000198739	LRRTM3	0.555503272
ENSG00000188316	ENO4	0.55479545
ENSG00000154478	GPR26	0.554464364
ENSG00000167434	CA4	0.554282936
ENSG00000108352	RAPGEFL1	0.554207648
ENSG00000227615	RP11-864N7.2	0.554172972
ENSG00000087274	ADD1	0.554068307
ENSG00000122966	CIT	0.554052126
ENSG00000053438	NNAT	0.55399181
ENSG00000106066	CPVL	0.553980809
ENSG00000179979	CRIPAK	0.553747268
ENSG00000163608	C3orf17	0.553578186
ENSG00000043143	JADE2	0.553457921
ENSG00000204116	CHIC1	0.553269754
ENSG00000188004	C1orf204	0.553182238
ENSG00000115310	RTN4	0.552705803
ENSG00000023734	STRAP	0.552261432
ENSG00000111261	MANSC1	0.552230937
ENSG00000161647	MPP3	0.55150227
ENSG00000107833	NPM3	0.551454293
ENSG00000056998	GYG2	0.551367733
ENSG00000112837	TBX18	0.551188285
ENSG00000051523	CYBA	0.551052178
ENSG00000148516	ZEB1	0.550951487
ENSG00000197705	KLHL14	0.550728526
ENSG00000171811	CFAP46	0.550727426
ENSG00000158864	NDUFS2	0.550635365
ENSG00000132563	REEP2	0.550573583
ENSG00000116731	PRDM2	0.550428643
ENSG00000154229	PRKCA	0.550361455
ENSG00000111358	GTF2H3	0.550105982
ENSG00000135314	KHDC1	0.550068317
ENSG00000198673	FAM19A2	0.549803504
ENSG00000196584	XRCC2	0.549598478
ENSG00000087074	PPP1R15A	0.549472111
ENSG00000120992	LYPLA1	0.549416419
ENSG00000048405	ZNF800	0.549171564
ENSG00000198920	KIAA0753	0.549069707
ENSG00000143207	RFWD2	0.548740285
ENSG00000181649	PHLDA2	0.548716245
ENSG00000110048	OSBP	0.548386924
ENSG00000144152	FBLN7	0.548370998
ENSG00000120156	TEK	0.548285268
ENSG00000144199	FAHD2B	0.548268737
ENSG00000170471	RALGAPB	0.547917251
ENSG00000179832	MROH1	0.547697971
ENSG00000070010	UFD1L	0.547365053
ENSG00000112701	SENP6	0.546995761
ENSG00000078177	N4BP2	0.546485411
ENSG00000172613	RAD9A	0.546413659
ENSG00000085377	PREP	0.546367536
ENSG00000069849	ATP1B3	0.546144972
ENSG00000158623	COPG2	0.546023718
ENSG00000127481	UBR4	0.546003805
ENSG00000171720	HDAC3	0.545778407
ENSG00000122420	PTGFR	0.545593827
ENSG00000230989	HSBP1	0.545591392
ENSG00000231760	RP11-350J20.5	0.545525749
ENSG00000106078	COBL	0.545330692
ENSG00000116005	PCYOX1	0.544948183
ENSG00000167461	RAB8A	0.544821642
ENSG00000120899	PTK2B	0.544737078
ENSG00000162851	TFB2M	0.544111205
ENSG00000254101	RP11-30J20.1	0.544014958
ENSG00000070601	FRMPD1	0.544007064
ENSG00000120756	PLS1	0.543741719
ENSG00000146463	ZMYM4	0.543633621
ENSG00000130396	MLLT4	0.54355946
ENSG00000173546	CSPG4	0.543555662
ENSG00000134490	TMEM241	0.543422353
ENSG00000184408	KCND2	0.543194261
ENSG00000174482	LINGO2	0.54316856
ENSG00000229932	YWHAZP3	0.543082772
ENSG00000157500	APPL1	0.543062385
ENSG00000141956	PRDM15	0.543000204
ENSG00000158528	PPP1R9A	0.542782549
ENSG00000110063	DCPS	0.542579099
ENSG00000144407	PTH2R	0.542424074
ENSG00000128253	RFPL2	0.542353344
ENSG00000066044	ELAVL1	0.542269332
ENSG00000037749	MFAP3	0.542121757
ENSG00000121989	ACVR2A	0.542037952
ENSG00000155975	VPS37A	0.541803159
ENSG00000162066	AMDHD2	0.54177102
ENSG00000113240	CLK4	0.541720887
ENSG00000130347	RTN4IP1	0.541573003
ENSG00000088727	KIF9	0.541261952
ENSG00000182400	TRAPPC6B	0.541201293
ENSG00000127081	ZNF484	0.541164785
ENSG00000025796	SEC63	0.541011519
ENSG00000065427	KARS	0.540872331
ENSG00000143575	HAX1	0.540833184
ENSG00000163947	ARHGEF3	0.540554852
ENSG00000138604	GLCE	0.540224055
ENSG00000133401	PDZD2	0.540102745
ENSG00000205189	ZBTB10	0.540085428
ENSG00000108091	CCDC6	0.540063863
ENSG00000163072	NOSTRIN	0.53994504
ENSG00000153993	SEMA3D	0.539837328
ENSG00000254838	GVINP1	0.539760489
ENSG00000131979	GCH1	0.539748653
ENSG00000116353	MECR	0.539712261
ENSG00000165323	FAT3	0.53954356
ENSG00000232973	CYP1B1-AS1	0.539463708
ENSG00000144057	ST6GAL2	0.539392044
ENSG00000004897	CDC27	0.53937323
ENSG00000124275	MTRR	0.539344278
ENSG00000008710	PKD1	0.53927865
ENSG00000196705	ZNF431	0.539137686
ENSG00000138496	PARP9	0.539133037
ENSG00000148660	CAMK2G	0.538818351
ENSG00000159904	ZNF890P	0.538527183
ENSG00000167549	CORO6	0.538341297
ENSG00000113361	CDH6	0.538307041
ENSG00000196511	TPK1	0.538227958
ENSG00000236088	COX10-AS1	0.537911187
ENSG00000155008	APOOL	0.537735827
ENSG00000134138	MEIS2	0.53755015
ENSG00000196531	NACA	0.53708474
ENSG00000251209	LINC00923	0.536939168
ENSG00000134775	FHOD3	0.536929944
ENSG00000066926	FECH	0.536854493
ENSG00000180228	PRKRA	0.536821549
ENSG00000102316	MAGED2	0.536798504
ENSG00000140015	KCNH5	0.536688091
ENSG00000198729	PPP1R14C	0.536566164
ENSG00000055130	CUL1	0.536171131
ENSG00000079459	FDFT1	0.536134996
ENSG00000132694	ARHGEF11	0.536105484
ENSG00000186047	DLEU7	0.535904866
ENSG00000156973	PDE6D	0.535849704
ENSG00000096060	FKBP5	0.535826092
ENSG00000160214	RRP1	0.535751027
ENSG00000229809	ZNF688	0.535693333
ENSG00000108306	FBXL20	0.535310823
ENSG00000186812	ZNF397	0.535120044
ENSG00000169410	PTPN9	0.535035189
ENSG00000169902	TPST1	0.535029036
ENSG00000278540	ACACA	0.534903019
ENSG00000166557	TMED3	0.534802441
ENSG00000204272	LINC01420	0.534687286
ENSG00000108039	XPNPEP1	0.534588798
ENSG00000101335	MYL9	0.534390741
ENSG00000170955	PRKCDBP	0.534370941
ENSG00000184613	NELL2	0.534287002
ENSG00000107949	BCCIP	0.534268963
ENSG00000109445	ZNF330	0.534223071
ENSG00000075275	CELSR1	0.534199155
ENSG00000197410	DCHS2	0.534128875
ENSG00000226259	GTF2H2B	0.534119519
ENSG00000213640	EEF1DP4	0.534103394
ENSG00000143147	GPR161	0.534027939
ENSG00000102096	PIM2	0.533872401
ENSG00000137100	DCTN3	0.533801569
ENSG00000280987	MATR3	0.533754826
ENSG00000131797	CLUHP3	0.533642071
ENSG00000054118	THRAP3	0.533605404
ENSG00000133794	ARNTL	0.533600623
ENSG00000227906	SNAP25-AS1	0.533569608
ENSG00000182952	HMGN4	0.533326828
ENSG00000107745	MICU1	0.533285944
ENSG00000101216	GMEB2	0.53308134
ENSG00000072858	SIDT1	0.5327734
ENSG00000114054	PCCB	0.532653398
ENSG00000136100	VPS36	0.532217307
ENSG00000256422	RP11-886D15.1	0.532103495
ENSG00000128951	DUT	0.532102175
ENSG00000181215	C4orf50	0.531814843
ENSG00000115687	PASK	0.531633119
ENSG00000175348	TMEM9B	0.531516843
ENSG00000136826	KLF4	0.531316131
